Mois;Qualité;Territoire;Production totale;Consommation totale;Solde exportateur
2014-11;Données définitives;Centre-Val de Loire;7382;1644;5738
2014-11;Données définitives;France;47114;40617;5573
2014-11;Données définitives;Ile-de-France;430;6255;-5824
2014-11;Données définitives;Occitanie;1845;2940;-1310
2014-11;Données définitives;Normandie;6253;2435;3817
2014-11;Données définitives;Hauts-de-France;4341;4514;-173
2014-11;Données définitives;PACA;1523;3430;-1912
2014-11;Données définitives;Pays-de-la-Loire;657;2278;-1620
2014-12;Données consolidées;Grand-Est;10865;4500;6258
2014-12;Données définitives;Nouvelle-Aquitaine;4968;4600;368
2014-12;Données définitives;Auvergne-Rhône-Alpes;10687;6705;3657
2014-12;Données définitives;Bourgogne-Franche-Comté;216;2043;-1827
2014-12;Données définitives;Bretagne;311;2318;-2011
2014-12;Données définitives;Centre-Val de Loire;8745;2109;6635
2014-12;Données définitives;France;54731;49350;4535
2014-12;Données définitives;Ile-de-France;600;7847;-7246
2014-12;Données définitives;Occitanie;3007;3947;-1128
2014-12;Données définitives;Normandie;7635;2927;4708
2014-12;Données définitives;Hauts-de-France;4885;5151;-266
2014-12;Données définitives;PACA;1944;4191;-2249
2014-12;Données définitives;Pays-de-la-Loire;725;2835;-2109
2015-01;Données consolidées;Grand-Est;11030;4770;6145
2015-01;Données définitives;Nouvelle-Aquitaine;4861;4952;-91
2015-01;Données définitives;Auvergne-Rhône-Alpes;12696;7123;5249
2015-01;Données définitives;Bourgogne-Franche-Comté;312;2137;-1825
2015-01;Données définitives;Bretagne;353;2462;-2113
2015-01;Données définitives;Centre-Val de Loire;8787;2177;6609
2015-01;Données définitives;France;58310;52536;4922
2015-01;Données définitives;Ile-de-France;602;8361;-7758
2015-01;Données définitives;Occitanie;3322;4219;-1091
2015-01;Données définitives;Normandie;8002;3048;4953
2015-01;Données définitives;Hauts-de-France;5262;5473;-211
2015-01;Données définitives;PACA;1965;4519;-2559
2015-01;Données définitives;Pays-de-la-Loire;957;3051;-2093
2015-02;Données consolidées;Grand-Est;9031;4405;4528
2015-02;Données définitives;Nouvelle-Aquitaine;4174;4573;-399
2015-02;Données définitives;Auvergne-Rhône-Alpes;11739;6683;4814
2015-02;Données définitives;Bourgogne-Franche-Comté;290;2000;-1710
2015-02;Données définitives;Bretagne;322;2342;-2024
2015-02;Données définitives;Centre-Val de Loire;7988;2034;5954
2015-02;Données définitives;France;52143;48676;2807
2015-02;Données définitives;Ile-de-France;687;7579;-6891
2015-02;Données définitives;Occitanie;3460;3947;-600
2015-02;Données définitives;Normandie;6472;2824;3648
2015-02;Données définitives;Hauts-de-France;4933;4976;-43
2015-02;Données définitives;PACA;1906;4222;-2317
2015-02;Données définitives;Pays-de-la-Loire;986;2857;-1870
2015-03;Données consolidées;Grand-Est;7453;4213;3118
2015-03;Données définitives;Nouvelle-Aquitaine;4432;4213;219
2015-03;Données définitives;Auvergne-Rhône-Alpes;11430;6326;4747
2015-03;Données définitives;Bourgogne-Franche-Comté;287;1808;-1520
2015-03;Données définitives;Bretagne;340;2224;-1888
2015-03;Données définitives;Centre-Val de Loire;8404;1860;6544
2015-03;Données définitives;France;50683;45739;4103
2015-03;Données définitives;Ile-de-France;594;7242;-6647
2015-03;Données définitives;Occitanie;3665;3450;84
2015-03;Données définitives;Normandie;7003;2713;4290
2015-03;Données définitives;Hauts-de-France;4694;4929;-234
2015-03;Données définitives;PACA;1593;3868;-2276
2015-03;Données définitives;Pays-de-la-Loire;629;2675;-2046
2015-04;Données consolidées;Grand-Est;6724;3598;3002
2015-04;Données définitives;Nouvelle-Aquitaine;3988;3278;709
2015-04;Données définitives;Auvergne-Rhône-Alpes;10103;5283;4439
2015-04;Données définitives;Bourgogne-Franche-Comté;203;1670;-1467
2015-04;Données définitives;Bretagne;200;1712;-1517
2015-04;Données définitives;Centre-Val de Loire;6245;1438;4807
2015-04;Données définitives;France;41509;36898;3896
2015-04;Données définitives;Ile-de-France;149;5540;-5391
2015-04;Données définitives;Occitanie;3165;2686;461
2015-04;Données définitives;Normandie;6006;2184;3821
2015-04;Données définitives;Hauts-de-France;3220;4171;-951
2015-04;Données définitives;PACA;1144;3096;-1952
2015-04;Données définitives;Pays-de-la-Loire;227;2074;-1847
2015-05;Données consolidées;Grand-Est;8188;3357;4706
2015-05;Données définitives;Nouvelle-Aquitaine;2872;2959;-87
2015-05;Données définitives;Auvergne-Rhône-Alpes;10145;4839;4922
2015-05;Données définitives;Bourgogne-Franche-Comté;196;1491;-1295
2015-05;Données définitives;Bretagne;208;1587;-1383
2015-05;Données définitives;Centre-Val de Loire;5743;1308;4434
2015-05;Données définitives;France;40641;33927;5782
2015-05;Données définitives;Ile-de-France;96;5155;-5059
2015-05;Données définitives;Occitanie;3283;2453;609
2015-05;Données définitives;Normandie;5169;2050;3118
2015-05;Données définitives;Hauts-de-France;3268;3874;-605
2015-05;Données définitives;PACA;1193;2836;-1642
2015-05;Données définitives;Pays-de-la-Loire;175;1872;-1696
2015-06;Données consolidées;Grand-Est;7879;3287;4481
2015-06;Données définitives;Nouvelle-Aquitaine;2631;2970;-338
2015-06;Données définitives;Auvergne-Rhône-Alpes;10056;4848;4891
2015-06;Données définitives;Bourgogne-Franche-Comté;122;1501;-1381
2015-06;Données définitives;Bretagne;196;1471;-1280
2015-06;Données définitives;Centre-Val de Loire;6515;1349;5166
2015-06;Données définitives;France;39927;33256;5865
2015-06;Données définitives;Ile-de-France;104;4889;-4785
2015-06;Données définitives;Occitanie;3002;2520;285
2015-06;Données définitives;Normandie;4261;1896;2365
2015-06;Données définitives;Hauts-de-France;3650;3684;-33
2015-06;Données définitives;PACA;1236;2872;-1636
2015-06;Données définitives;Pays-de-la-Loire;164;1810;-1646
2015-07;Données consolidées;Grand-Est;9832;3302;6421
2015-07;Données définitives;Nouvelle-Aquitaine;2927;3278;-350
2015-07;Données définitives;Auvergne-Rhône-Alpes;9703;5124;4350
2015-07;Données définitives;Bourgogne-Franche-Comté;125;1534;-1410
2015-07;Données définitives;Bretagne;183;1509;-1330
2015-07;Données définitives;Centre-Val de Loire;5727;1364;4363
2015-07;Données définitives;France;41695;34912;6055
2015-07;Données définitives;Ile-de-France;105;4903;-4798
2015-07;Données définitives;Occitanie;2727;2862;-311
2015-07;Données définitives;Normandie;5060;1895;3165
2015-07;Données définitives;Hauts-de-France;3879;3645;233
2015-07;Données définitives;PACA;1106;3395;-2288
2015-07;Données définitives;Pays-de-la-Loire;166;1896;-1729
2015-08;Données consolidées;Grand-Est;8890;2993;5791
2015-08;Données définitives;Nouvelle-Aquitaine;3415;2945;469
2015-08;Données définitives;Auvergne-Rhône-Alpes;9715;4508;4992
2015-08;Données définitives;Bourgogne-Franche-Comté;115;1338;-1227
2015-08;Données définitives;Bretagne;180;1458;-1283
2015-08;Données définitives;Centre-Val de Loire;5885;1212;4673
2015-08;Données définitives;France;38939;31603;6686
2015-08;Données définitives;Ile-de-France;110;4437;-4326
2015-08;Données définitives;Occitanie;1665;2522;-1029
2015-08;Données définitives;Normandie;4730;1764;2966
2015-08;Données définitives;Hauts-de-France;2967;3318;-351
2015-08;Données définitives;PACA;877;3175;-2297
2015-08;Données définitives;Pays-de-la-Loire;244;1736;-1491
2015-09;Données consolidées;Grand-Est;7858;3361;4413
2015-09;Données définitives;Nouvelle-Aquitaine;4082;2971;1111
2015-09;Données définitives;Auvergne-Rhône-Alpes;8018;4797;2973
2015-09;Données définitives;Bourgogne-Franche-Comté;165;1530;-1368
2015-09;Données définitives;Bretagne;187;1499;-1316
2015-09;Données définitives;Centre-Val de Loire;6810;1292;5517
2015-09;Données définitives;France;39078;33521;5005
2015-09;Données définitives;Ile-de-France;111;4957;-4845
2015-09;Données définitives;Occitanie;1662;2406;-820
2015-09;Données définitives;Normandie;5042;1964;3078
2015-09;Données définitives;Hauts-de-France;3371;3813;-441
2015-09;Données définitives;PACA;1160;2929;-1768
2015-09;Données définitives;Pays-de-la-Loire;495;1842;-1346
2015-10;Données consolidées;Grand-Est;9288;3912;5268
2015-10;Données définitives;Nouvelle-Aquitaine;4848;3509;1339
2015-10;Données définitives;Auvergne-Rhône-Alpes;8797;5606;2892
2015-10;Données définitives;Bourgogne-Franche-Comté;132;1795;-1666
2015-10;Données définitives;Bretagne;194;1755;-1566
2015-10;Données définitives;Centre-Val de Loire;5850;1540;4310
2015-10;Données définitives;France;44511;39170;4693
2015-10;Données définitives;Ile-de-France;135;6041;-5906
2015-10;Données définitives;Occitanie;2719;2801;-124
2015-10;Données définitives;Normandie;5902;2290;3612
2015-10;Données définitives;Hauts-de-France;4014;4363;-348
2015-10;Données définitives;PACA;1823;3228;-1404
2015-10;Données définitives;Pays-de-la-Loire;701;2176;-1474
2015-11;Données consolidées;Grand-Est;10320;4032;6194
2015-11;Données définitives;Nouvelle-Aquitaine;5034;3658;1375
2015-11;Données définitives;Auvergne-Rhône-Alpes;9258;5829;3141
2015-11;Données définitives;Bourgogne-Franche-Comté;231;1890;-1662
2015-11;Données définitives;Bretagne;339;1844;-1510
2015-11;Données définitives;Centre-Val de Loire;6089;1607;4482
2015-11;Données définitives;France;47560;41085;5736
2015-11;Données définitives;Ile-de-France;464;6252;-5787
