City,Colors Reported,Shape Reported,State,Time,hour
Farragut,,CIGAR,TN,6/15/1956 20:00,00:00
Tulsa,,FLASH,OK,6/15/1956 20:00,00:00
Salem,,DISK,NJ,6/15/1956 20:32,00:00
New York City,,LIGHT,NY,6/15/1956 21:00,00:00
Cincinnati,,DISK,OH,6/16/1956 13:00,00:00
Madera,,SPHERE,CA,6/24/1956 14:00,00:00
Willow Grove,,LIGHT,PA,6/30/1956 1:00,00:00
Cape Girardeau,,DIAMOND,MO,6/30/1956 13:00,00:00
New Brunswick,,DISK,NJ,6/30/1956 16:00,00:00
Houston,,TRIANGLE,TX,6/30/1956 18:30,00:00
Beatrice,,OTHER,NE,7/1/1956 16:00,00:00
Wichita,,,KS,7/12/1956 19:00,00:00
Sacramento,,DISK,CA,7/14/1956 19:30,00:00
East Hampton,,DISK,CT,7/15/1956 0:00,00:00
Yellowstone Park,,DISK,WY,7/15/1956 0:00,00:00
Sugarcreek,,DISK,OH,7/15/1956 5:00,00:00
Harvard,,,MA,8/1/1956 20:00,00:00
Bradford,YELLOW,SPHERE,AL,8/1/1956 23:30,00:00
Norfolk,,CIGAR,VA,9/9/1956 5:55,00:00
Middle River,BLUE,CIRCLE,MD,9/15/1956 20:00,00:00
Hope,,CIRCLE,AR,9/20/1956 16:00,00:00
Greenwich,,LIGHT,CT,9/21/1956 0:00,00:00
Newport,,RECTANGLE,NH,10/1/1956 19:00,00:00
Edna,,CIRCLE,TX,10/10/1956 21:00,00:00
Mt. Vernon,,DISK,IN,10/15/1956 21:30,00:00
Aberdeen,ORANGE,CIRCLE,SD,11/15/1956 18:30,00:00
Painsville,,RECTANGLE,OH,11/27/1956 22:00,00:00
Columbus,,FORMATION,OH,12/1/1956 23:00,00:00
Dallas,,,TX,1/1/1957 21:00,00:00
Jena,,SPHERE,LA,3/5/1957 19:30,00:00
Fort Devans,,OVAL,MA,3/7/1957 4:00,00:00
Los Angeles,,FORMATION,CA,3/15/1957 13:00,00:00
Los Angeles,,DISK,CA,3/15/1957 15:00,00:00
Canton,,CIGAR,OH,5/1/1957 12:00,00:00
Rhinebeck,,DIAMOND,NY,5/25/1957 13:00,00:00
Union Bower are irving,,FORMATION,TX,6/1/1957 0:00,00:00
El Paso,,DISK,TX,6/1/1957 10:00,00:00
E. Los Angeles,,LIGHT,CA,6/1/1957 12:00,00:00
Glens Falls,,DISK,NY,6/1/1957 20:00,00:00
Irving,,LIGHT,TX,6/1/1957 22:00,00:00
Hicksville,,CIRCLE,NY,6/6/1957 22:00,00:00
Green Lake,,OVAL,MI,6/12/1957 19:00,00:00
Livermore Falls,,DIAMOND,ME,6/14/1957 10:00,00:00
Great Falls,,,MT,6/15/1957 0:00,00:00
Hartford City,,DISK,IN,6/15/1957 13:00,00:00
Walled Lake,,CYLINDER,MI,6/15/1957 23:30,00:00
San Leandro,,LIGHT,CA,6/19/1957 21:00,00:00
Lubbock,,TRIANGLE,TX,6/21/1957 17:00,00:00
Norwalk,,DISK,CA,6/21/1957 19:30,00:00
Arctic,,CIGAR,AK,6/30/1957 0:00,00:00
Dallas,,OTHER,TX,6/30/1957 0:00,00:00
Birmingham,,,MI,6/30/1957 3:30,00:00
New York City,,TEARDROP,NY,6/30/1957 12:00,00:00
Burlington,,CIRCLE,IA,6/30/1957 13:00,00:00
Russellville,ORANGE,SPHERE,AR,6/30/1957 18:00,00:00
Barker,,DISK,NY,6/30/1957 20:00,00:00
Albany,,CIRCLE,CA,6/30/1957 21:00,00:00
Mullens,,OVAL,WV,7/1/1957 13:00,00:00
Talcott,,SPHERE,WV,7/1/1957 13:00,00:00
Del Rio,,CIGAR,TX,7/1/1957 20:00,00:00
Phillipsburg,,CIGAR,NJ,7/10/1957 20:00,00:00
Baltimore,,OTHER,MD,7/10/1957 22:00,00:00
Chesapeake,,DISK,OH,7/13/1957 9:00,00:00
Temple City,,LIGHT,CA,7/15/1957 12:00,00:00
Houston,,DIAMOND,TX,7/15/1957 13:00,00:00
Williamsport,,CIGAR,PA,7/15/1957 14:00,00:00
Long Beach,,DISK,CA,7/15/1957 15:00,00:00
Denver,,LIGHT,CO,7/15/1957 22:00,00:00
Kresgeville,,,PA,7/15/1957 22:00,00:00
Salt  Lake City,,DISK,UT,7/15/1957 22:00,00:00
Kansas City,RED,LIGHT,MO,7/15/1957 23:30,00:00
Arco,,DISK,ID,8/1/1957 12:00,00:00
Vandalia,,DISK,OH,8/3/1957 20:00,00:00
Bainbridge,,FIREBALL,MD,8/4/1957 2:00,00:00
Indianapolis,,LIGHT,IN,8/7/1957 1:00,00:00
San Diego,,DISK,CA,8/9/1957 0:30,00:00
Ticonderoga,,DISK,NY,8/14/1957 16:00,00:00
California,,FIREBALL,CA,8/14/1957 21:00,00:00
Longview,,TRIANGLE,WA,8/15/1957 1:00,00:00
Ludlow,,CIGAR,MA,8/15/1957 1:00,00:00
Exeter,,DISK,NH,8/15/1957 21:00,00:00
Auburn,,,MA,8/15/1957 21:30,00:00
Smith's Ferry,,DISK,ID,8/16/1957 21:30,00:00
Huntington,,TRIANGLE,IN,8/17/1957 23:00,00:00
Graham,,SPHERE,TX,9/1/1957 16:00,00:00
Brecksville,,CIRCLE,OH,9/1/1957 23:00,00:00
Los Gatos,,DISK,CA,9/5/1957 17:30,00:00
St. Paul,,DISK,MN,9/10/1957 19:15,00:00
El Paso,,DISK,TX,9/15/1957 4:00,00:00
Lake Jackson,,FIREBALL,TX,9/15/1957 21:30,00:00
Tacoma,,DISK,WA,9/15/1957 23:00,00:00
Hopkinsville,,CIGAR,KY,9/20/1957 0:00,00:00
Nelchina,,,AK,10/1/1957 16:00,00:00
